timestamp,outside_temp,classroom_occupancy_avg,cafeteria_occupancy,total_occupancy,energy_kw
2026-04-01 00:00:00,4.08,0,0,0,56.36
2026-04-01 01:00:00,4.96,4,0,40,97.48
2026-04-01 02:00:00,6.58,3,0,30,81.2
2026-04-01 03:00:00,8.25,0,0,0,39.49
2026-04-01 04:00:00,9.8,1,0,10,52.87
2026-04-01 05:00:00,12.52,4,8,48,84.73
2026-04-01 06:00:00,14.96,0,0,0,20.77
2026-04-01 07:00:00,16.85,3,7,37,57.61
2026-04-01 08:00:00,21.41,50,27,527,633.37
2026-04-01 09:00:00,21.54,48,36,516,620.78
2026-04-01 10:00:00,23.62,54,27,567,684.47
2026-04-01 11:00:00,25.18,17,35,205,254.77
2026-04-01 12:00:00,26.64,23,119,349,430.44
2026-04-01 13:00:00,26.41,15,103,253,317.2
2026-04-01 14:00:00,25.02,45,175,625,760.23
2026-04-01 15:00:00,21.63,34,34,374,449.5
2026-04-01 16:00:00,20.67,35,20,370,449.64
2026-04-01 17:00:00,16.43,12,37,157,204.78
2026-04-01 18:00:00,13.81,19,47,237,308.6
2026-04-01 19:00:00,12.58,0,0,0,29.56
2026-04-01 20:00:00,9.08,4,2,42,93.95
2026-04-01 21:00:00,6.85,1,7,17,62.96
2026-04-01 22:00:00,8.47,1,3,13,57.5
2026-04-01 23:00:00,4.76,2,9,29,83.91
2026-04-02 00:00:00,4.99,2,0,20,73.97
2026-04-02 01:00:00,4.94,2,1,21,75.22
2026-04-02 02:00:00,6.39,3,0,30,81.37
2026-04-02 03:00:00,7.63,2,7,27,75.2
2026-04-02 04:00:00,10.08,2,4,24,63.04
2026-04-02 05:00:00,13.57,3,0,30,62.48
2026-04-02 06:00:00,14.6,1,6,16,44.97
2026-04-02 07:00:00,17.5,3,7,37,60.42
2026-04-02 08:00:00,20.17,44,41,481,583.04
2026-04-02 09:00:00,22.68,47,20,490,593.61
2026-04-02 10:00:00,23.97,50,39,539,654.96
2026-04-02 11:00:00,25.26,12,31,151,192.74
2026-04-02 12:00:00,23.65,13,174,304,373.69
2026-04-02 13:00:00,24.02,10,185,285,346.32
2026-04-02 14:00:00,22.54,34,158,498,597.88
2026-04-02 15:00:00,20.02,42,45,465,565.28
2026-04-02 16:00:00,20.3,31,24,334,402.5
2026-04-02 17:00:00,17.01,13,39,169,217.8
2026-04-02 18:00:00,15.05,23,24,254,326.32
2026-04-02 19:00:00,11.82,2,3,23,56.97
2026-04-02 20:00:00,10.14,4,1,41,85.1
2026-04-02 21:00:00,7.83,0,4,4,49.73
2026-04-02 22:00:00,5.83,2,0,20,71.53
2026-04-02 23:00:00,4.65,4,0,40,101.2
2026-04-03 00:00:00,3.77,1,0,10,66.67
2026-04-03 01:00:00,6.63,3,8,38,92.21
2026-04-03 02:00:00,3.68,4,2,42,103.92
2026-04-03 03:00:00,8.06,2,5,25,71.94
2026-04-03 04:00:00,9.09,3,7,37,84.57
2026-04-03 05:00:00,13.31,4,0,40,75.93
2026-04-03 06:00:00,13.37,3,0,30,61.93
2026-04-03 07:00:00,16.78,0,0,0,20.0
2026-04-03 08:00:00,18.84,44,48,488,594.75
2026-04-03 09:00:00,21.86,47,20,490,588.73
2026-04-03 10:00:00,22.23,45,42,492,589.04
2026-04-03 11:00:00,23.4,14,45,185,224.32
2026-04-03 12:00:00,24.68,16,127,287,351.6
2026-04-03 13:00:00,25.54,12,116,236,292.68
2026-04-03 14:00:00,23.94,48,190,670,811.09
2026-04-03 15:00:00,22.82,37,39,409,493.64
2026-04-03 16:00:00,20.26,30,41,341,412.9
2026-04-03 17:00:00,16.45,13,34,164,216.76
2026-04-03 18:00:00,17.03,21,34,244,310.27
2026-04-03 19:00:00,12.33,0,6,6,33.26
2026-04-03 20:00:00,8.34,0,8,8,50.73
2026-04-03 21:00:00,8.38,4,0,40,89.96
2026-04-03 22:00:00,5.89,0,0,0,48.05
2026-04-03 23:00:00,3.87,1,8,18,76.31
2026-04-04 00:00:00,6.04,0,8,8,60.94
2026-04-04 01:00:00,5.66,0,8,8,58.14
2026-04-04 02:00:00,7.08,2,5,25,77.89
2026-04-04 03:00:00,7.16,4,7,47,102.96
2026-04-04 04:00:00,8.19,2,14,34,82.35
2026-04-04 05:00:00,12.32,0,15,15,48.44
2026-04-04 06:00:00,15.58,4,8,48,79.58
2026-04-04 07:00:00,16.49,0,13,13,27.71
2026-04-04 08:00:00,21.84,3,8,38,46.01
