model,metric,value
Energy Forecast,R² Score,1.0
Energy Forecast,MAE (kWh),0.0045
Energy Forecast,Mean Actual (kWh),1.0825
Energy Forecast,Mean Predicted (kWh),1.0824
Energy Forecast,Test Set Size,91229.0
Canteen Congestion,R² Score,0.9948
Canteen Congestion,MAE (occupancy),0.5232
Canteen Congestion,Mean Actual,5.8869
Canteen Congestion,Mean Predicted,5.8851
Canteen Congestion,Test Set Size,28071.0
Library Congestion,R² Score,0.9989
Library Congestion,MAE (occupancy),1.5661
Library Congestion,Mean Actual,43.0159
Library Congestion,Mean Predicted,43.035
Library Congestion,Test Set Size,21053.0
